Date,Open,High,Low,Close,Adj Close,Volume
2016-12-02,47.369999,48.240002,47.299999,47.910000,47.515129,4843600
2016-12-05,48.080002,48.459999,47.040001,47.070000,46.682053,4734200
2016-12-06,47.389999,47.900002,47.160000,47.680000,47.387699,4573200
2016-12-07,47.709999,49.880001,47.400002,49.849998,49.544395,7738800
2016-12-08,49.980000,49.980000,49.240002,49.599998,49.295929,6643200
2016-12-09,49.889999,50.680000,49.220001,49.790001,49.484768,6700900
2016-12-12,49.360001,49.689999,48.919998,49.369999,49.067341,8801300
2016-12-13,49.470001,50.430000,49.450001,49.549999,49.246235,6603700
2016-12-14,49.500000,50.000000,48.900002,49.279999,48.977894,5920400
2016-12-15,49.430000,51.310001,49.400002,50.590000,50.279861,9147800
2016-12-16,50.740002,51.130001,49.889999,49.930000,49.623909,7358700
2016-12-19,50.259998,50.529999,49.720001,50.349998,50.041332,3438400
2016-12-20,50.549999,51.189999,50.410000,50.889999,50.578022,3700800
2016-12-21,50.770000,51.080002,50.520000,50.650002,50.339497,3954100
2016-12-22,50.720001,51.029999,50.080002,50.250000,49.941944,2508800
2016-12-23,50.360001,50.720001,50.189999,50.450001,50.140720,1616700
2016-12-27,50.459999,50.779999,50.259998,50.490002,50.180477,1874200
2016-12-28,50.529999,50.959999,50.070000,50.169998,49.862431,3185800
2016-12-29,50.189999,50.619999,49.959999,50.200001,49.892254,2160500
2016-12-30,50.189999,50.369999,49.529999,49.840000,49.534458,3257200
2017-01-03,50.400002,51.160000,49.810001,49.980000,49.673599,4210300
2017-01-04,50.250000,51.419998,50.150002,51.299999,50.985508,4914400
2017-01-05,51.439999,52.119999,50.119999,50.470001,50.160599,7131500
2017-01-06,50.490002,50.650002,49.450001,49.930000,49.623909,5691900
2017-01-09,50.000000,50.930000,49.799999,50.299999,49.991638,4965600
2017-01-10,50.549999,51.889999,50.529999,51.340000,51.025265,5569300
2017-01-11,51.770000,52.200001,51.470001,51.680000,51.363182,5941600
2017-01-12,51.680000,51.950001,50.259998,51.009998,50.697285,6059800
2017-01-13,51.000000,51.340000,50.779999,51.150002,50.836430,2611300
2017-01-17,50.880001,51.340000,50.220001,50.240002,49.932011,4214900
2017-01-18,50.070000,50.660000,49.700001,50.380001,50.071148,5897000
2017-01-19,50.450001,50.750000,49.849998,50.070000,49.763046,4237900
2017-01-20,50.139999,51.169998,50.139999,51.090000,50.776794,5196500
2017-01-23,51.029999,51.139999,49.770000,49.939999,49.633842,4222200
2017-01-24,50.119999,50.240002,49.580002,49.650002,49.345623,6152400
2017-01-25,49.090000,49.950001,48.709999,49.459999,49.156788,8380800
2017-01-26,51.400002,53.990002,51.139999,53.919998,53.589447,15952600
2017-01-27,54.080002,54.180000,52.380001,52.700001,52.376926,7687000
2017-01-30,52.130001,52.400002,51.169998,52.349998,52.029072,8057600
2017-01-31,52.060001,52.400002,51.509998,52.310001,51.989319,6604000
2017-02-01,52.549999,53.270000,52.439999,52.730000,52.406742,4953400
2017-02-02,52.270000,53.310001,52.180000,52.860001,52.535942,4563700
2017-02-03,53.000000,53.580002,52.599998,52.880001,52.555824,3631600
2017-02-06,53.169998,53.380001,52.900002,53.070000,52.744659,3335000
2017-02-07,53.349998,53.880001,52.910000,53.040001,52.714840,5231000
2017-02-08,53.200001,53.490002,52.360001,52.919998,52.595577,4076800
2017-02-09,52.919998,54.669998,52.900002,54.520000,54.185768,7692200
2017-02-10,54.770000,54.869999,54.369999,54.709999,54.374603,3194400
2017-02-13,54.840000,56.310001,54.840000,55.730000,55.388348,5412800
2017-02-14,55.730000,55.740002,54.919998,55.310001,54.970928,4896500
2017-02-15,56.910000,58.060001,55.799999,57.290001,56.938789,9908500
2017-02-16,57.400002,57.400002,56.060001,56.340000,55.994614,5617900
2017-02-17,56.119999,57.349998,55.580002,57.320000,56.968601,6077200
2017-02-21,57.599998,57.990002,57.080002,57.860001,57.505295,4290600
2017-02-22,57.790001,58.000000,57.139999,57.910000,57.554989,4782100
2017-02-23,58.080002,58.549999,57.119999,57.259998,56.908970,4664700
2017-02-24,56.919998,58.560001,56.369999,58.540001,58.181126,5513400
2017-02-27,58.340000,58.480000,57.570000,58.430000,58.071800,6309000
2017-02-28,58.400002,58.570000,57.700001,57.799999,57.445660,5733900
2017-03-01,58.470001,59.680000,58.430000,58.880001,58.519043,5382900
2017-03-02,58.459999,58.730000,57.529999,57.570000,57.217068,4658700
2017-03-03,57.700001,59.000000,57.599998,58.860001,58.499165,5136900
2017-03-06,58.509998,58.599998,57.160000,57.560001,57.207134,5899500
